Year,Senator,State,Party,Age
1789,William Grayson,Virginia,Democratic-Republican,49
1789,William Paterson,New Jersey,Federalist,44
1789,Jonathan Elmer,New Jersey,Federalist,44
1789,Benjamin Hawkins,North Carolina,Federalist,35
1789,William Maclay,Pennsylvania,Democratic-Republican,52
1789,William S. Johnson,Connecticut,Federalist,62
1789,Philip Schuyler,New York,Federalist,56
1789,Tristram Dalton,Massachusetts,Federalist,51
1789,Charles Carroll of Carrollton,Maryland,Federalist,52
1789,Richard Henry Lee,Virginia,Democratic-Republican,57
1789,John Langdon,New Hampshire,Federalist,48
1789,George Read,Delaware,Federalist,56
1789,Samuel Johnston,North Carolina,Federalist,56
1789,Paine Wingate,New Hampshire,Democratic-Republican,50
1789,William Few,Georgia,Democratic-Republican,41
1789,Richard Bassett,Delaware,Federalist,44
1789,Pierce Butler,South Carolina,Federalist,45
1789,Robert Morris,Pennsylvania,Federalist,55
1789,Ralph Izard,South Carolina,Federalist,48
1789,Oliver Ellsworth,Connecticut,Federalist,44
1789,Rufus King,New York,Federalist,34
1789,Caleb Strong,Massachusetts,Federalist,44
1789,James Gunn,Georgia,Democratic-Republican,36
1789,John Henry,Maryland,Federalist,39
1790,William Grayson,Virginia,Democratic-Republican,50
1790,William Paterson,New Jersey,Federalist,45
1790,Jonathan Elmer,New Jersey,Federalist,45
1790,Benjamin Hawkins,North Carolina,Federalist,36
1790,William Maclay,Pennsylvania,Democratic-Republican,53
1790,William S. Johnson,Connecticut,Federalist,63
1790,Philip Schuyler,New York,Federalist,57
1790,Tristram Dalton,Massachusetts,Federalist,52
1790,Charles Carroll of Carrollton,Maryland,Federalist,53
1790,Richard Henry Lee,Virginia,Democratic-Republican,58
1790,John Langdon,New Hampshire,Federalist,49
1790,George Read,Delaware,Federalist,57
1790,Samuel Johnston,North Carolina,Federalist,57
1790,Paine Wingate,New Hampshire,Democratic-Republican,51
1790,William Few,Georgia,Democratic-Republican,42
1790,Richard Bassett,Delaware,Federalist,45
1790,Pierce Butler,South Carolina,Federalist,46
1790,Robert Morris,Pennsylvania,Federalist,56
1790,Ralph Izard,South Carolina,Federalist,49
1790,Oliver Ellsworth,Connecticut,Federalist,45
1790,Rufus King,New York,Federalist,35
1790,Caleb Strong,Massachusetts,Federalist,45
1790,James Gunn,Georgia,Democratic-Republican,37
1790,John Henry,Maryland,Federalist,40
1790,John Walker,Virginia,Federalist,46
1790,Philemon Dickinson,New Jersey,Federalist,51
1790,Joseph Stanton Jr.,Rhode Island,Democratic-Republican,51
1790,James Monroe,Virginia,Democratic-Republican,32
1790,Theodore Foster,Rhode Island,Federalist,38
1791,Jonathan Elmer,New Jersey,Federalist,46
1791,Benjamin Hawkins,North Carolina,Federalist,37
1791,William Maclay,Pennsylvania,Democratic-Republican,54
1791,William S. Johnson,Connecticut,Federalist,64
1791,Philip Schuyler,New York,Federalist,58
1791,Tristram Dalton,Massachusetts,Federalist,53
1791,Charles Carroll of Carrollton,Maryland,Federalist,54
1791,Richard Henry Lee,Virginia,Democratic-Republican,59
1791,John Langdon,New Hampshire,Federalist,50
1791,George Read,Delaware,Federalist,58
1791,Samuel Johnston,North Carolina,Federalist,58
1791,Paine Wingate,New Hampshire,Democratic-Republican,52
1791,William Few,Georgia,Democratic-Republican,43
1791,Richard Bassett,Delaware,Federalist,46
1791,Pierce Butler,South Carolina,Federalist,47
1791,Robert Morris,Pennsylvania,Federalist,57
1791,Ralph Izard,South Carolina,Federalist,50
1791,Oliver Ellsworth,Connecticut,Federalist,46
1791,Rufus King,New York,Federalist,36
1791,Caleb Strong,Massachusetts,Federalist,46
1791,James Gunn,Georgia,Democratic-Republican,38
1791,John Henry,Maryland,Federalist,41
1791,Philemon Dickinson,New Jersey,Federalist,52
1791,Joseph Stanton Jr.,Rhode Island,Democratic-Republican,52
1791,James Monroe,Virginia,Democratic-Republican,33
1791,Theodore Foster,Rhode Island,Federalist,39
1791,Roger Sherman,Connecticut,Federalist,70
1791,Benjamin Hawkins,North Carolina,Democratic-Republican,37
1791,Stephen R. Bradley,Vermont,Democratic-Republican,37
1791,George Cabot,Massachusetts,Federalist,39
1791,Aaron Burr,New York,Democratic-Republican,35
1791,Moses Robinson,Vermont,Democratic-Republican,50
1791,John Rutherfurd,New Jersey,Federalist,31
1792,Charles Carroll of Carrollton,Maryland,Federalist,55
1792,Richard Henry Lee,Virginia,Democratic-Republican,60
1792,John Langdon,New Hampshire,Federalist,51
1792,George Read,Delaware,Federalist,59
1792,Samuel Johnston,North Carolina,Federalist,59
1792,Paine Wingate,New Hampshire,Democratic-Republican,53
1792,William Few,Georgia,Democratic-Republican,44
1792,Richard Bassett,Delaware,Federalist,47
1792,Pierce Butler,South Carolina,Federalist,48
1792,Robert Morris,Pennsylvania,Federalist,58
1792,Ralph Izard,South Carolina,Federalist,51
1792,Oliver Ellsworth,Connecticut,Federalist,47
1792,Rufus King,New York,Federalist,37
1792,Caleb Strong,Massachusetts,Federalist,47
1792,James Gunn,Georgia,Democratic-Republican,39
1792,John Henry,Maryland,Federalist,42
1792,Philemon Dickinson,New Jersey,Federalist,53
1792,Joseph Stanton Jr.,Rhode Island,Democratic-Republican,53
1792,James Monroe,Virginia,Democratic-Republican,34
1792,Theodore Foster,Rhode Island,Federalist,40
1792,Roger Sherman,Connecticut,Federalist,71
1792,Benjamin Hawkins,North Carolina,Democratic-Republican,38
1792,Stephen R. Bradley,Vermont,Democratic-Republican,38
1792,George Cabot,Massachusetts,Federalist,40
1792,Aaron Burr,New York,Democratic-Republican,36
1792,Moses Robinson,Vermont,Democratic-Republican,51
1792,John Rutherfurd,New Jersey,Federalist,32
1792,John Taylor of Caroline,Virginia,Democratic-Republican,39
1792,John Edwards,Kentucky,Democratic-Republican,44
1792,John Brown,Kentucky,Democratic-Republican,35
1793,John Langdon,New Hampshire,Federalist,52
1793,George Read,Delaware,Federalist,60
1793,Samuel Johnston,North Carolina,Federalist,60
1793,Paine Wingate,New Hampshire,Democratic-Republican,54
1793,William Few,Georgia,Democratic-Republican,45
1793,Richard Bassett,Delaware,Federalist,48
1793,Pierce Butler,South Carolina,Federalist,49
1793,Robert Morris,Pennsylvania,Federalist,59
1793,Ralph Izard,South Carolina,Federalist,52
1793,Oliver Ellsworth,Connecticut,Federalist,48
1793,Rufus King,New York,Federalist,38
1793,Caleb Strong,Massachusetts,Federalist,48
1793,James Gunn,Georgia,Democratic-Republican,40
1793,John Henry,Maryland,Federalist,43
1793,Philemon Dickinson,New Jersey,Federalist,54
1793,Joseph Stanton Jr.,Rhode Island,Democratic-Republican,54
1793,James Monroe,Virginia,Democratic-Republican,35
1793,Theodore Foster,Rhode Island,Federalist,41
1793,Roger Sherman,Connecticut,Federalist,72
1793,Benjamin Hawkins,North Carolina,Democratic-Republican,39
1793,Stephen R. Bradley,Vermont,Democratic-Republican,39
1793,George Cabot,Massachusetts,Federalist,41
1793,Aaron Burr,New York,Democratic-Republican,37
1793,Moses Robinson,Vermont,Democratic-Republican,52
1793,John Rutherfurd,New Jersey,Federalist,33
1793,John Taylor of Caroline,Virginia,Democratic-Republican,40
1793,John Edwards,Kentucky,Democratic-Republican,45
1793,John Brown,Kentucky,Democratic-Republican,36
1793,Albert Gallatin,Pennsylvania,Democratic-Republican,32
1793,Stephen Mix Mitchell,Connecticut,Federalist,50
1793,James Jackson,Georgia,Democratic-Republican,36
1793,Richard Potts,Maryland,Federalist,40
1793,Frederick Frelinghuysen,New Jersey,Federalist,40
1793,William Bradford,Rhode Island,Federalist,64
1793,John M. Vining,Delaware,Federalist,35
1793,Alexander Martin,North Carolina,Democratic-Republican,53
1793,John Langdon,New Hampshire,Democratic-Republican,52
1793,Samuel Livermore,New Hampshire,Federalist,61
1794,Pierce Butler,South Carolina,Federalist,50
1794,Robert Morris,Pennsylvania,Federalist,60
1794,Ralph Izard,South Carolina,Federalist,53
1794,Oliver Ellsworth,Connecticut,Federalist,49
1794,Rufus King,New York,Federalist,39
1794,Caleb Strong,Massachusetts,Federalist,49
1794,James Gunn,Georgia,Democratic-Republican,41
1794,John Henry,Maryland,Federalist,44
1794,James Monroe,Virginia,Democratic-Republican,36
1794,Theodore Foster,Rhode Island,Federalist,42
1794,Benjamin Hawkins,North Carolina,Democratic-Republican,40
1794,Stephen R. Bradley,Vermont,Democratic-Republican,40
1794,George Cabot,Massachusetts,Federalist,42
1794,Aaron Burr,New York,Democratic-Republican,38
1794,Moses Robinson,Vermont,Democratic-Republican,53
1794,John Rutherfurd,New Jersey,Federalist,34
1794,John Taylor of Caroline,Virginia,Democratic-Republican,41
1794,John Edwards,Kentucky,Democratic-Republican,46
1794,John Brown,Kentucky,Democratic-Republican,37
1794,Albert Gallatin,Pennsylvania,Democratic-Republican,33
1794,Stephen Mix Mitchell,Connecticut,Federalist,51
1794,James Jackson,Georgia,Democratic-Republican,37
1794,Richard Potts,Maryland,Federalist,41
1794,Frederick Frelinghuysen,New Jersey,Federalist,41
1794,William Bradford,Rhode Island,Federalist,65
1794,John M. Vining,Delaware,Federalist,36
1794,Alexander Martin,North Carolina,Democratic-Republican,54
1794,John Langdon,New Hampshire,Democratic-Republican,53
1794,Samuel Livermore,New Hampshire,Federalist,62
1794,Henry Tazewell,Virginia,Democratic-Republican,41
1794,Stevens T. Mason,Virginia,Democratic-Republican,34
1794,James Ross,Pennsylvania,Federalist,32
1795,Pierce Butler,South Carolina,Federalist,51
1795,Robert Morris,Pennsylvania,Federalist,61
1795,Ralph Izard,South Carolina,Federalist,54
1795,Oliver Ellsworth,Connecticut,Federalist,50
1795,Rufus King,New York,Federalist,40
1795,Caleb Strong,Massachusetts,Federalist,50
1795,James Gunn,Georgia,Democratic-Republican,42
1795,John Henry,Maryland,Federalist,45
1795,Theodore Foster,Rhode Island,Federalist,43
1795,Benjamin Hawkins,North Carolina,Democratic-Republican,41
1795,Stephen R. Bradley,Vermont,Democratic-Republican,41
1795,George Cabot,Massachusetts,Federalist,43
1795,Aaron Burr,New York,Democratic-Republican,39
1795,Moses Robinson,Vermont,Democratic-Republican,54
1795,John Rutherfurd,New Jersey,Federalist,35
1795,John Edwards,Kentucky,Democratic-Republican,47
1795,John Brown,Kentucky,Democratic-Republican,38
